merged_score,title,batch_count,total_hit_count,category_count,query_count,avg_original_score,max_original_score,source_kinds,categories,matched_queries,url,downgrade_flags,reasons
40.4,开阳-行政服务,5,7,5,6,7.1,8.0,wiki,IT报修 | 加班与调休 | 密码与账号 | 考勤 | 餐补福利,IT故障报修 | IT自助服务 | 加班餐 | 忘记密码 | 补卡 | 餐卡,https://my-ichery.feishu.cn/wiki/NSbGwd0jCi4cdakMFwPcMG7cnme,,跨批出现 5 | 覆盖类别 5 | 累计命中 7 | 包含知识库来源 | 查询覆盖 6
39.7,信息化指南,4,5,5,5,12.05,18.6,docs,IT报修 | 入职 | 密码与账号 | 账号权限 | 邮箱与应用,IT报修 | 修改密码 | 入职 | 权限申请 | 系统账号,https://www.feishu.cn/docx/DeqcdXPnYoKorCx2F9FcqNmWnyc,,跨批出现 4 | 覆盖类别 5 | 累计命中 5 | 标题强信号 1 | 可读取正文 | 查询覆盖 5
39.5,国内差旅报销操作方法及注意事项,3,8,4,7,16.67,20.5,docs,发票 | 差旅 | 报销 | 餐补福利,发票 | 发票报销 | 差旅 | 差旅报销 | 差旅申请 | 报销 | 补贴,https://www.feishu.cn/docx/Cugedhbluo8SvpxA09ucGPkQn7f,,跨批出现 3 | 覆盖类别 4 | 累计命中 8 | 标题强信号 2 | 可读取正文 | 查询覆盖 7
38.9,关于进一步规范出差审批和费用报销管理的通知（股份）.pdf,3,11,4,10,16.67,22.5,wiki,发票 | 差旅 | 报销 | 餐补福利,出差 | 出差审批 | 发票报销 | 差旅报销 | 差旅标准 | 差旅申请 | 报销 | 报销标准 | 补贴 | 费用报销,https://my-ichery.feishu.cn/wiki/I4hRwJTtqikwIDkWLPUcX4IYnse,,跨批出现 3 | 覆盖类别 4 | 累计命中 11 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 10
37.7,A05.SAP HR薪酬管理操作概述,3,10,4,10,11.17,20.5,wiki,加班与调休 | 社保公积金 | 薪资个税 | 餐补福利,个税 | 五险一金 | 公积金 | 加班 | 发薪 | 工资 | 社保 | 社保缴纳 | 薪资 | 补贴,https://my-ichery.feishu.cn/wiki/WGYowyekxim4HAkl6dBcPA77nch,,跨批出现 3 | 覆盖类别 4 | 累计命中 10 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 10
34.0,02.售后服务管理基准,4,5,4,5,10.95,16.1,docs,IT报修 | 差旅 | 报销 | 邮箱与应用,企业邮箱 | 差旅 | 差旅报销 | 报销流程 | 设备故障,https://www.feishu.cn/docx/OwoedEF1OoNfOPxQvNRcHPa5nGw,,跨批出现 4 | 覆盖类别 4 | 累计命中 5 | 可读取正文 | 查询覆盖 5
33.6,OO的说明书,5,8,5,8,7.74,16.7,docs,IT报修 | 密码与账号 | 报销 | 账号权限 | 邮箱与应用,IT报修 | 企业邮箱 | 密码重置 | 忘记密码 | 报销 | 权限开通 | 重置密码 | 飞书应用,https://www.feishu.cn/docx/KvogdrYhtosw6cxeSBFcCvN7nvP,弱噪声标题 -6 | 高重复弱噪声,跨批出现 5 | 覆盖类别 5 | 累计命中 8 | 可读取正文 | 查询覆盖 8
33.0,墨甲临时采购管理办法,4,5,4,4,7.28,11.1,docs,IT报修 | 发票 | 报销 | 账号权限,发票报销 | 发票申请 | 权限审批 | 设备故障,https://www.feishu.cn/docx/Br5HdgjNSoD6hOxa9lJch5oOnNb,,跨批出现 4 | 覆盖类别 4 | 累计命中 5 | 可读取正文
32.7,iChery学习手册,4,5,3,5,9.47,13.9,docs,密码与账号 | 薪资个税 | 邮箱与应用,修改密码 | 忘记密码 | 找回密码 | 系统账号 | 薪资,https://www.feishu.cn/docx/MQ0cdaWMeo4aODx2a4fcBKTfn8d,,跨批出现 4 | 覆盖类别 3 | 累计命中 5 | 标题强信号 1 | 可读取正文 | 查询覆盖 5
32.6,《墨甲机器人员工出入境指南与海外工作安全提醒》-,3,7,3,7,12.5,18.0,docs,差旅 | 报销 | 邮箱与应用,MFA | 差旅 | 差旅报销 | 差旅标准 | 报销标准 | 报销流程 | 费用报销,https://www.feishu.cn/docx/XNh2dAu6EoQMAjxJnbNc6PJfnMj,,跨批出现 3 | 覆盖类别 3 | 累计命中 7 | 标题强信号 1 | 可读取正文 | 查询覆盖 7
32.4,星海大数据平台账号权限申请,3,7,2,7,12.13,15.7,docs,VPN与远程办公 | 账号权限,VPN | 权限审批 | 权限开通 | 权限申请 | 访问权限 | 账号开通 | 账号权限,https://www.feishu.cn/docx/QlqQdLVrsoJeLCxpVQCc3Drfnyc,,跨批出现 3 | 覆盖类别 2 | 累计命中 7 | 标题强信号 2 | 可读取正文 | 正文强信号 1 | 查询覆盖 7
31.9,差旅相关问题,4,6,3,6,9.75,12.0,wiki,IT报修 | 差旅 | 餐补福利,出差 | 差旅 | 差旅标准 | 差旅申请 | 提交工单 | 补贴,https://my-ichery.feishu.cn/wiki/UgrIww0E4iS8TEk0LCsc5PPPnKh,,跨批出现 4 | 覆盖类别 3 | 累计命中 6 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 6
30.6,登录账号、密码、权限,3,7,3,7,13.33,17.0,wiki,IT报修 | 密码与账号 | 账号权限,修改密码 | 密码重置 | 提交工单 | 权限开通 | 访问权限 | 账号权限 | 重置密码,https://my-ichery.feishu.cn/wiki/SKhdweH5Ai356DkojJycVDsdnhe,,跨批出现 3 | 覆盖类别 3 | 累计命中 7 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 7
30.4,新人入职指南,3,5,3,5,12.5,13.0,wiki,IT报修 | 入职 | 账号权限,IT自助服务 | 入职 | 开通权限 | 新员工入职 | 服务台,https://my-ichery.feishu.cn/wiki/FvbDwS3KTiuH1lkyCewcpQWDnJb,,跨批出现 3 | 覆盖类别 3 | 累计命中 5 | 标题强信号 2 | 包含知识库来源 | 查询覆盖 5
30.3,差旅费报销,2,7,3,7,18.75,19.5,wiki,发票 | 差旅 | 报销,出差 | 差旅 | 差旅报销 | 差旅申请 | 报销 | 电子发票 | 费用报销,https://my-ichery.feishu.cn/wiki/ODD6wPaHliQ4Amkk29JchNpTnSg,,跨批出现 2 | 覆盖类别 3 | 累计命中 7 | 标题强信号 2 | 包含知识库来源 | 查询覆盖 7
30.1,26校招话术,5,13,6,11,10.5,17.0,docs,加班与调休 | 社保公积金 | 考勤 | 薪资个税 | 请假与假期 | 餐补福利,五险一金 | 公积金 | 加班 | 加班餐 | 工资 | 打卡 | 社保 | 薪资 | 请假 | 调休 | 餐补,https://www.feishu.cn/docx/AxtydVGtXofBFPxCKJbczcbunHb,强噪声标题 -15 | 高重复强噪声,跨批出现 5 | 覆盖类别 6 | 累计命中 13 | 可读取正文 | 查询覆盖 11
29.5,2026年费用预提表-威蓝动力,3,5,4,5,8.67,11.5,wiki,IT报修 | 社保公积金 | 薪资个税 | 餐补福利,工资 | 电脑维修 | 社保 | 福利 | 餐费,https://my-ichery.feishu.cn/wiki/HXdNw8gx5iqvozkNRgOcnhpjnfe,,跨批出现 3 | 覆盖类别 4 | 累计命中 5 | 包含知识库来源 | 查询覆盖 5
29.4,A04.01.SAP HR操作指南-缺勤&加班维护,3,6,3,5,11.67,17.0,wiki,加班与调休 | 考勤 | 请假与假期,加班 | 加班申请 | 考勤 | 请假 | 调休,https://my-ichery.feishu.cn/wiki/Hcq9wruDEidu2qkib7ccqZiJncf,,跨批出现 3 | 覆盖类别 3 | 累计命中 6 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 5
29.1,各系统账号、权限申请(注销/变更)流程,3,5,2,5,12.5,13.0,wiki,账号权限 | 邮箱与应用,权限开通 | 权限申请 | 系统权限 | 系统账号 | 账号权限,https://my-ichery.feishu.cn/wiki/LBdywjN2Mi4Zxikr5KdcAyaln2g,,跨批出现 3 | 覆盖类别 2 | 累计命中 5 | 标题强信号 3 | 包含知识库来源 | 查询覆盖 5
28.1,如何申请应用系统的账号和权限？(例：OA、合同系统、SAP、MES、PQCP、SRM...等),3,6,2,6,10.0,11.5,wiki,账号权限 | 邮箱与应用,权限审批 | 权限申请 | 系统权限 | 系统账号 | 账号开通 | 账号权限,https://my-ichery.feishu.cn/wiki/HWepwS7tciM6X5kO7alcgGMunah,,跨批出现 3 | 覆盖类别 2 | 累计命中 6 | 标题强信号 2 | 包含知识库来源 | 查询覆盖 6
26.9,差旅申请单,3,5,2,5,10.0,12.0,wiki,差旅 | 邮箱与应用,出差 | 单点登录 | 差旅 | 差旅报销 | 差旅申请,https://my-ichery.feishu.cn/wiki/Ln8hwTXnxiVygqknLs0c24fCnOc,,跨批出现 3 | 覆盖类别 2 | 累计命中 5 | 标题强信号 2 | 包含知识库来源 | 查询覆盖 5
26.6,要不要转？怎么转？社保公积金转移指南,2,5,2,5,16.25,18.5,wiki,入职 | 社保公积金,五险一金 | 入职 | 公积金 | 社保 | 社保缴纳,https://my-ichery.feishu.cn/wiki/BQe6w6INzidMJxkCuzTcQodWnFb,,跨批出现 2 | 覆盖类别 2 | 累计命中 5 | 标题强信号 3 | 包含知识库来源 | 查询覆盖 5
25.7,VPN申请、注销、续期流程.docx,2,4,3,4,12.25,15.5,wiki,VPN与远程办公 | 邮箱与应用 | 餐补福利,VPN | 福利 | 邮箱权限 | 邮箱申请,https://my-ichery.feishu.cn/wiki/DeJgwFMNyilUMeksrFdcePZanaf,,跨批出现 2 | 覆盖类别 3 | 累计命中 4 | 标题强信号 2 | 包含知识库来源
25.5,奇瑞国际人才发展系统说明答疑,2,4,3,4,12.85,17.7,docs,密码与账号 | 账号权限 | 邮箱与应用,密码重置 | 系统账号 | 账号开通 | 重置密码,https://www.feishu.cn/docx/Zu73ds4UCohc8OxBc5icjMtbnle,,跨批出现 2 | 覆盖类别 3 | 累计命中 4 | 标题强信号 1 | 可读取正文
24.9,CGDES常见问题处理手册,2,5,2,5,10.25,11.0,docs,密码与账号 | 邮箱与应用,单点登录 | 密码重置 | 忘记密码 | 系统账号 | 重置密码,https://www.feishu.cn/docx/LbWtdvmV3oPQpYxem6HcfpQGnEe,正文限流,跨批出现 2 | 覆盖类别 2 | 累计命中 5 | 标题强信号 2 | 查询覆盖 5
24.8,2025年06月外包供应商考勤表-星途项目,3,3,3,3,9.0,9.0,wiki,加班与调休 | 考勤 | 请假与假期,休假 | 加班申请 | 考勤,https://my-ichery.feishu.cn/wiki/BeNdwimBniUFowk055wckbQTnue,,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
24.8,2025年05月外包供应商考勤表-星途项目,3,3,3,3,9.0,9.0,wiki,加班与调休 | 考勤 | 请假与假期,休假 | 加班申请 | 考勤,https://my-ichery.feishu.cn/wiki/FSpjwR8HBi4e3gkXGXGcsDG0nOb,,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
24.8,A03.03.SAP HR操作指南-人事活动——入、转、调、离,3,3,3,3,9.0,9.0,wiki,考勤 | 薪资个税 | 请假与假期,发薪 | 考勤 | 请假,https://my-ichery.feishu.cn/wiki/FTFQw6RWmip0Kxk7VctcCpfUnhe,,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
24.6,校招面试话术 副本,3,3,3,3,6.83,7.5,docs,差旅 | 薪资个税 | 餐补福利,出差 | 福利 | 薪资,https://www.feishu.cn/docx/Hc2VdjCyJoh5cmxeLaXc0sCfnLe,,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 可读取正文
23.8,信息安全知识库,3,4,3,4,7.0,8.0,wiki,VPN与远程办公 | 入职 | 账号权限,入职 | 内网访问 | 开通权限 | 新员工入职,https://my-ichery.feishu.cn/wiki/Mh1HwSm1IiGU3KkbQuhcymhdnJc,,跨批出现 3 | 覆盖类别 3 | 累计命中 4 | 包含知识库来源
23.8,智界数据管理业务指导手册,3,3,3,3,8.0,8.0,docs,请假与假期 | 账号权限 | 邮箱与应用,系统账号 | 请假 | 账号权限,https://www.feishu.cn/docx/TBKhd0mV4o03UDxIXQrc3UHZnlc,正文限流,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 标题强信号 1
23.8,员工管理制度,3,3,3,3,8.0,8.0,docs,考勤 | 薪资个税 | 请假与假期,休假 | 考勤 | 薪资,https://www.feishu.cn/docx/doxcng2WuNQoFwYt9IDn3iqXqUb,正文限流,跨批出现 3 | 覆盖类别 3 | 累计命中 3 | 标题强信号 1
23.2,业务流程说明及模板参考,2,5,2,4,11.85,12.7,docs,发票 | 报销,发票 | 发票报销 | 报销 | 费用报销,https://www.feishu.cn/docx/KtUcd9ZqroKJVhxDX4Uc2g2znXe,,跨批出现 2 | 覆盖类别 2 | 累计命中 5 | 标题强信号 1 | 可读取正文
22.5,奇瑞商旅操作指南（股份）,3,4,2,4,9.5,10.5,wiki,差旅 | 餐补福利,出差审批 | 差旅 | 差旅申请 | 补贴,https://my-ichery.feishu.cn/wiki/Nv8KwsV2Xizdxqk2vmscdhDrngc,,跨批出现 3 | 覆盖类别 2 | 累计命中 4 | 标题强信号 1 | 包含知识库来源
22.5,财务共享系统的报账单关联不了出差申请单,3,4,2,4,7.0,8.0,wiki,差旅 | 餐补福利,出差 | 差旅 | 差旅申请 | 补贴,https://my-ichery.feishu.cn/wiki/W6GNwemvGi7eUjkee67cD32Fnbe,,跨批出现 3 | 覆盖类别 2 | 累计命中 4 | 标题强信号 1 | 包含知识库来源
22.2,飞书应用上架说明,3,3,2,3,7.63,8.7,docs,账号权限 | 邮箱与应用,权限申请 | 系统权限 | 飞书应用,https://www.feishu.cn/docx/Odx8dEqC0oEsD7xl9JacT71an4c,,跨批出现 3 | 覆盖类别 2 | 累计命中 3 | 可读取正文 | 正文强信号 1
22.2,报销差旅费，收款银行账户选择不到，无法提交单据,2,4,2,4,14.75,18.0,wiki,差旅 | 报销,差旅 | 差旅报销 | 报销 | 费用报销,https://my-ichery.feishu.cn/wiki/JmQSwakG8iaLQRkZPaLcIX7EncH,,跨批出现 2 | 覆盖类别 2 | 累计命中 4 | 标题强信号 2 | 包含知识库来源
21.8,芜湖市紫云英“高校毕业生保险费补贴”政策申请指南,2,2,2,2,9.0,10.0,docs,社保公积金 | 餐补福利,社保 | 补贴,https://www.feishu.cn/docx/WC60dxpgnojNm2xIL80cCC3pniV,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 2 | 可读取正文
21.0,如何申请VPN权限？,2,3,2,3,9.75,10.5,wiki,VPN与远程办公 | 账号权限,VPN | 权限开通 | 访问权限,https://my-ichery.feishu.cn/wiki/St3KwFWWvikYYlkHEHdciDzWnBf,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 2 | 包含知识库来源
21.0,差旅出行必须行程结束方可报销，行程未完结不允许报销吗？,2,3,2,3,14.0,16.5,wiki,差旅 | 报销,差旅 | 差旅报销 | 报销,https://my-ichery.feishu.cn/wiki/ZEKww9eMpiRxZPkBJugc4IaAnyg,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 2 | 包含知识库来源
20.3,Polarion(ALM)系统自助修改账户密码(非忘记),3,4,2,4,7.0,8.0,wiki,IT报修 | 密码与账号,IT自助服务 | 修改密码 | 忘记密码 | 重置密码,https://my-ichery.feishu.cn/wiki/NPrswN3n1ifGtYkcoTwcU61Wnlf,,跨批出现 3 | 覆盖类别 2 | 累计命中 4 | 包含知识库来源
19.6,阿里云无影云桌面使用指南,2,2,2,2,9.0,10.0,docs,密码与账号 | 账号权限,修改密码 | 账号开通,https://www.feishu.cn/docx/EHKyd023voUEEOxLX1AcBD7onmb,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 1 | 可读取正文
19.0,发票采集和影像上传要求,2,5,2,4,8.75,11.0,wiki,发票 | 报销,发票 | 发票报销 | 开票信息 | 电子发票,https://my-ichery.feishu.cn/wiki/LeE7wlvC6iqv6OkA7RVcIGaFngg,,跨批出现 2 | 覆盖类别 2 | 累计命中 5 | 包含知识库来源
18.8,AI数字员工创建手册,2,3,2,3,9.75,10.5,wiki,IT报修 | 账号权限,IT报修 | IT自助服务 | 开通权限,https://my-ichery.feishu.cn/wiki/XCBgwzYntiYl5bkcAt0ciX53ndg,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
18.8,🤖 新人指南,2,3,2,3,9.75,10.5,wiki,入职 | 账号权限,入职 | 开通权限 | 账号开通,https://my-ichery.feishu.cn/wiki/GoG9wULgPicNUtk951rc7GwynHf,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
18.8,日常费用报销单,2,3,2,3,9.75,10.5,wiki,报销 | 餐补福利,报销 | 补贴 | 费用报销,https://my-ichery.feishu.cn/wiki/VxaUwUmrkihRpZkXt94ckWtCnXb,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
18.8,资产报账单报销时，付款金额小于发票金额（如有质保款的情况），应该怎么填写支付方式？,2,3,2,2,9.25,10.0,wiki,发票 | 报销,发票报销 | 报销流程,https://my-ichery.feishu.cn/wiki/UjEFwfYfMiSB19klzMBc9kECnqh,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 1 | 包含知识库来源
18.7,3.1.2 项目权限申请,2,4,1,4,10.5,12.0,wiki,账号权限,权限审批 | 权限开通 | 权限申请 | 访问权限,https://my-ichery.feishu.cn/wiki/RLhvwCwtQirXzgkZ2wwceuOFnfb,,跨批出现 2 | 覆盖类别 1 | 累计命中 4 | 标题强信号 2 | 包含知识库来源
17.8,如何重置/解锁SAP密码,2,4,2,4,8.0,9.5,wiki,IT报修 | 密码与账号,IT报修 | 密码重置 | 账号解锁 | 重置密码,https://my-ichery.feishu.cn/wiki/NULzwi5q5iYVbykJKpRcd3jsnYb,,跨批出现 2 | 覆盖类别 2 | 累计命中 4 | 包含知识库来源
17.8,如何修改域密码？,2,4,2,4,9.75,11.5,wiki,VPN与远程办公 | 密码与账号,VPN | 修改密码 | 密码重置 | 重置密码,https://my-ichery.feishu.cn/wiki/VG7rw0rn6iQgi0kWDfXc3PpKnVe,,跨批出现 2 | 覆盖类别 2 | 累计命中 4 | 包含知识库来源
17.8,新员工入职须知,2,3,2,3,8.75,9.5,docs,入职 | 邮箱与应用,入职 | 新员工入职 | 邮箱申请,https://www.feishu.cn/docx/LOyadT33WoZrFJxvsBgcGbYYnWc,正文限流,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 标题强信号 1
17.6,捷途试验车系统角色权限有哪些？,2,2,2,2,9.0,9.0,wiki,VPN与远程办公 | 账号权限,系统权限 | 远程权限,https://my-ichery.feishu.cn/wiki/XMwuwn2LUiw5r5k67r4cPyebn7b,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 1 | 包含知识库来源
17.6,2025年04月外包供应商考勤表-星途项目,2,2,2,2,9.0,9.0,wiki,加班与调休 | 考勤,加班申请 | 考勤,https://my-ichery.feishu.cn/wiki/KlXWwfUbei6NjJkw1rvcJYEKnj0,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 1 | 包含知识库来源
17.6,使用ETC通行高速公路时，只有汇总单，没有发票如何报销?,2,2,2,1,9.0,9.0,wiki,发票 | 报销,发票报销,https://my-ichery.feishu.cn/wiki/FCITwLLzNiJWs0krYuHcH6esnib,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 1 | 包含知识库来源
17.5,权限申请,2,3,1,3,9.75,10.5,wiki,账号权限,权限审批 | 权限开通 | 权限申请,https://my-ichery.feishu.cn/wiki/Xk94wZxgSi8YSukx09VcvLzYnfh,,跨批出现 2 | 覆盖类别 1 | 累计命中 3 | 标题强信号 2 | 包含知识库来源
17.4,招聘宣传落地页,2,2,2,2,7.5,7.5,docs,VPN与远程办公 | 餐补福利,福利 | 远程办公,https://www.feishu.cn/docx/doxcnaYfmLKUn33646TZUvWQoMm,,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 可读取正文
17.3,Mornine（墨茵）机器人操作手册 V0.4,2,3,1,3,11.55,15.1,docs,密码与账号,修改密码 | 忘记密码 | 找回密码,https://www.feishu.cn/docx/IytJdnpZtoOPW8xV4klcp4aOnHh,,跨批出现 2 | 覆盖类别 1 | 累计命中 3 | 标题强信号 1 | 可读取正文
16.6,资源账号（共享）,2,3,2,3,7.25,8.0,wiki,VPN与远程办公 | 账号权限,VPN | 内网访问 | 账号权限,https://my-ichery.feishu.cn/wiki/QNZQwMIp5iioDmkuj15cVFZQnPG,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 包含知识库来源
16.6,驻场外协管理规范(弃),2,3,2,3,9.75,10.5,wiki,报销 | 考勤,打卡 | 报销流程 | 漏打卡,https://my-ichery.feishu.cn/wiki/C7DIwak8EifVCZkibKMckzFlnye,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 包含知识库来源
16.6,增值税专用发票为何必须要上传发票联，抵扣联为何不行？,2,3,2,2,7.25,8.0,wiki,发票 | 报销,发票 | 发票报销,https://my-ichery.feishu.cn/wiki/HB09wh5Bsi1aM4kqmXoc9BDmnIg,,跨批出现 2 | 覆盖类别 2 | 累计命中 3 | 包含知识库来源
16.6,新人必备指南,2,2,2,2,8.0,8.0,docs,入职 | 社保公积金,五险一金 | 入职办理,https://www.feishu.cn/docx/U9LLdzGfioj4XjxNwSscJR15nTf,正文限流,跨批出现 2 | 覆盖类别 2 | 累计命中 2 | 标题强信号 1
16.3,特殊网络权限申请,2,2,1,2,9.0,9.0,wiki,账号权限,权限申请 | 访问权限,https://my-ichery.feishu.cn/wiki/CI6CwEp7eiYwdCka4cPcMrVAnWc,,跨批出现 2 | 覆盖类别 1 | 累计命中 2 | 标题强信号 2 | 包含知识库来源
16.3,如何申请USB权限？,2,2,1,2,9.0,9.0,wiki,账号权限,开通权限 | 权限申请,https://my-ichery.feishu.cn/wiki/PM0pwgEGLil7zZkiNO4cHCzBnlg,,跨批出现 2 | 覆盖类别 1 | 累计命中 2 | 标题强信号 2 | 包含知识库来源
